user_id,register_date,platform,country_code,ftd_returning_users,n_of_purchases,total_spend,avg_spend_per_purchase,ftd_date,dfr_to_1st_purchase,purchase_amount_1st_purchase,coins_received_1st_purchase,balance_before_1st_purchase,spins_bf_1st_purchase,xp_level_1st_purchase,date_2nd_purchase,dfr_to_2nd_purchase,purchase_amount_2nd_purchase,coins_received_2nd_purchase,balance_before_2nd_purchase,spins_bf_2nd_purchase,xp_level_2nd_purchase
274a3e51-3860-4e36-8b45-8c67fe485fa4,2023-03-27,IOS,US,No,1,0.99,0.99,2023-04-22,26,0.99,14000000,16674050,351,18,,,,,,0,
69345da5-d04f-4657-9a33-1535fe05514f,2023-04-19,ANDROID,US,No,1,5.99,5.99,2023-04-19,0,5.99,66000000,9373750,23,4,,,,,,0,
228359f0-bb18-46b9-b38d-f51eb25965a3,2023-05-21,ANDROID,US,No,1,2.99,2.99,2023-06-02,12,2.99,48000000,1293786,459,19,,,,,,0,
c0f4f9c1-5adb-4ebb-847a-a18b7b5d52b5,2023-02-23,ANDROID,US,Yes,3,2.9699999999999998,0.9899999999999999,2023-02-23,0,0.99,10000000,15190000,77,6,2023-02-23,0,0.99,10000000,26480000,174,12
e97c6f27-a9cb-4402-9965-12f2460538c9,2023-03-18,IOS,US,No,1,2.99,2.99,2023-03-19,1,2.99,100000000,22080125,627,37,,,,,,0,
3ca5990c-db3f-403d-957d-425f29bf3c66,2023-03-24,ANDROID,US,No,1,0.99,0.99,2023-03-28,4,0.99,24000000,1440,1271,64,,,,,,0,
9acc88f4-7385-41e3-aa4e-9b22cb6cc8cf,2023-05-23,ANDROID,BR,No,1,0.40193550587236776,0.40193550587236776,2023-05-24,1,0.40193550587236776,24000000,10427500,4,2,,,,,,0,
074b12b5-40bf-4cf9-a511-47e83cb0ae1b,2023-03-12,IOS,US,No,1,0.99,0.99,2023-03-12,0,0.99,50000000,912750,341,30,,,,,,0,
df339350-7c9b-4397-89ac-9539cd7bb139,2023-03-13,IOS,US,No,1,2.99,2.99,2023-03-13,0,2.99,100000000,2785225,337,31,,,,,,0,
c9b7ceea-d766-4834-891f-0615faa79ecb,2023-04-18,ANDROID,US,No,1,1.99,1.99,2023-04-18,0,1.99,41000000,8717575,241,24,,,,,,0,
d3b471a0-f2d5-4b2d-a72b-dd3fbafe3782,2023-05-04,ANDROID,CA,Yes,11,30.255295085509708,2.7504813714099736,2023-05-04,0,1.4621324297141247,60000000,1721775,280,19,2023-05-08,4,2.9937205799797804,160000000,479475,1335,153
234d1470-cdde-422d-a2b2-ccbe78625b25,2023-05-21,IOS,US,Yes,3,8.97,2.99,2023-05-26,5,0.99,54000000,207950,775,95,2023-06-09,19,3.99,140000000,3015450,854,96
e120b03c-10eb-4580-95d3-4c61b2c01f3a,2023-05-22,ANDROID,US,No,1,0.99,0.99,2023-05-23,1,0.99,12000000,207650,590,39,,,,,,0,
c3ac47ff-eae6-4aeb-92c3-1300fe9cb14f,2023-01-19,ANDROID,US,No,1,0.99,0.99,2023-01-19,0,0.99,10000000,8818125,231,12,,,,,,0,
add05ab8-dcce-43cb-bf55-d2514a4518a7,2023-02-27,ANDROID,US,Yes,4,5.960000000000001,1.4900000000000002,2023-03-05,6,0.99,50000000,427370,1258,65,2023-03-06,7,0.99,15000000,224620,2785,85
261e2745-0e4f-4dec-9053-c2a3053a25cd,2023-03-06,ANDROID,US,Yes,2,5.98,2.99,2023-03-06,0,0.99,3000000,10857750,1203,15,2023-03-11,5,4.99,53000000,372750,1954,58
afdd0835-b17c-493d-8467-b63f546d16e2,2023-03-12,ANDROID,PL,No,1,0.6751571867776327,0.6751571867776327,2023-03-17,5,0.6751571867776327,100000000,1754942,1011,77,,,,,,0,
